resultId,raceId,driverId,grid,statusId,error_catagory,circuitId,turns,race_laps,full_throttle_percentage,driver_error_rate,constructor_error_rate,circuit_error_rate,label
261,30,16,18,11,Finished,13,19,44,0.7,0.0234375,0.086614173,0.103571429,0
263,30,18,17,11,Finished,13,19,44,0.7,0.020661157,0.141509434,0.103571429,0
264,30,15,11,11,Finished,13,19,44,0.7,0.013986014,0.146226415,0.103571429,0
265,30,21,20,11,Finished,13,19,44,0.7,0.056074766,0.086614173,0.103571429,0
266,30,8,4,20,Driver,13,19,44,0.7,0.00896861,0.072243346,0.103571429,0
267,30,22,16,6,Constructor,13,19,44,0.7,0.006896552,0.141509434,0.103571429,0
268,30,12,12,20,Driver,13,19,44,0.7,0.107142857,0.137096774,0.103571429,0
269,31,20,1,1,Finished,14,11,53,0.84,0.010050251,0.181415929,0.043046358,1
270,31,5,2,1,Finished,14,11,53,0.84,0.017857143,0.155893536,0.043046358,1
271,31,9,11,1,Finished,14,11,53,0.84,0.026315789,0.1,0.043046358,1
272,31,4,8,1,Finished,14,11,53,0.84,0.011538462,0.137096774,0.043046358,1
273,31,2,10,1,Finished,14,11,53,0.84,0.016949153,0.1,0.043046358,1
274,31,13,6,1,Finished,14,11,53,0.84,0.019685039,0.072243346,0.043046358,1
275,31,1,15,1,Finished,14,11,53,0.84,0.009615385,0.155893536,0.043046358,1
276,31,17,3,1,Finished,14,11,53,0.84,0.010869565,0.130612245,0.043046358,1
277,31,8,14,1,Finished,14,11,53,0.84,0.00896861,0.072243346,0.043046358,1
278,31,12,17,1,Finished,14,11,53,0.84,0.107142857,0.137096774,0.043046358,1
279,31,10,9,1,Finished,14,11,53,0.84,0.021505376,0.146226415,0.043046358,0
281,31,15,7,1,Finished,14,11,53,0.84,0.013986014,0.146226415,0.043046358,0
282,31,3,5,1,Finished,14,11,53,0.84,0.004854369,0.131428571,0.043046358,0
283,31,18,19,1,Finished,14,11,53,0.84,0.020661157,0.141509434,0.043046358,0
284,31,14,13,11,Finished,14,11,53,0.84,0.011111111,0.130612245,0.043046358,0
285,31,22,16,11,Finished,14,11,53,0.84,0.006896552,0.141509434,0.043046358,0
286,31,7,4,11,Finished,14,11,53,0.84,0.037037037,0.181415929,0.043046358,0
287,31,16,20,12,Finished,14,11,53,0.84,0.0234375,0.086614173,0.043046358,0
288,31,21,12,3,Track,14,11,53,0.84,0.056074766,0.086614173,0.043046358,0
289,32,4,15,1,Finished,15,23,61,0.49,0.011538462,0.137096774,0.114678899,1
290,32,3,8,1,Finished,15,23,61,0.49,0.004854369,0.131428571,0.114678899,1
291,32,1,2,1,Finished,15,23,61,0.49,0.009615385,0.155893536,0.114678899,1
292,32,10,7,1,Finished,15,23,61,0.49,0.021505376,0.146226415,0.114678899,1
293,32,20,6,1,Finished,15,23,61,0.49,0.010050251,0.181415929,0.114678899,1
294,32,2,9,1,Finished,15,23,61,0.49,0.016949153,0.1,0.114678899,1
295,32,14,14,1,Finished,15,23,61,0.49,0.011111111,0.130612245,0.114678899,1
297,32,18,12,1,Finished,15,23,61,0.49,0.020661157,0.141509434,0.114678899,1
298,32,5,5,1,Finished,15,23,61,0.49,0.017857143,0.155893536,0.114678899,1
299,32,9,4,1,Finished,15,23,61,0.49,0.026315789,0.1,0.114678899,0
300,32,7,17,1,Finished,15,23,61,0.49,0.037037037,0.181415929,0.114678899,0
301,32,13,1,1,Finished,15,23,61,0.49,0.019685039,0.072243346,0.114678899,0
302,32,21,20,1,Finished,15,23,61,0.49,0.056074766,0.086614173,0.114678899,0
303,32,8,3,3,Track,15,23,61,0.49,0.00896861,0.072243346,0.114678899,0
304,32,15,11,9,Constructor,15,23,61,0.49,0.013986014,0.146226415,0.114678899,0
305,32,16,19,3,Track,15,23,61,0.49,0.0234375,0.086614173,0.114678899,0
306,32,17,13,7,Constructor,15,23,61,0.49,0.010869565,0.130612245,0.114678899,0
307,32,22,18,26,Constructor,15,23,61,0.49,0.006896552,0.141509434,0.114678899,0
308,32,12,16,3,Track,15,23,61,0.49,0.107142857,0.137096774,0.114678899,0
309,33,4,4,1,Finished,16,16,67,0.6,0.011538462,0.137096774,0.146341463,1
310,33,9,6,1,Finished,16,16,67,0.6,0.026315789,0.1,0.146341463,1
311,33,8,2,1,Finished,16,16,67,0.6,0.00896861,0.072243346,0.146341463,1
312,33,12,12,1,Finished,16,16,67,0.6,0.107142857,0.137096774,0.146341463,1
313,33,15,7,1,Finished,16,16,67,0.6,0.013986014,0.146226415,0.146341463,1
314,33,20,9,1,Finished,16,16,67,0.6,0.010050251,0.181415929,0.146341463,1
315,33,13,5,1,Finished,16,16,67,0.6,0.019685039,0.072243346,0.146341463,1
316,33,17,13,1,Finished,16,16,67,0.6,0.010869565,0.130612245,0.146341463,1
317,33,2,16,1,Finished,16,16,67,0.6,0.016949153,0.1,0.146341463,1
318,33,7,10,1,Finished,16,16,67,0.6,0.037037037,0.181415929,0.146341463,1
319,33,3,15,1,Finished,16,16,67,0.6,0.004854369,0.131428571,0.146341463,0
320,33,1,1,1,Finished,16,16,67,0.6,0.009615385,0.155893536,0.146341463,0
321,33,22,17,11,Finished,16,16,67,0.6,0.006896552,0.141509434,0.146341463,0
322,33,18,18,11,Finished,16,16,67,0.6,0.020661157,0.141509434,0.146341463,0
324,33,21,20,6,Constructor,16,16,67,0.6,0.056074766,0.086614173,0.146341463,0
325,33,5,3,5,Constructor,16,16,67,0.6,0.017857143,0.155893536,0.146341463,0
326,33,16,19,27,Constructor,16,16,67,0.6,0.0234375,0.086614173,0.146341463,0
328,33,14,11,4,Track,16,16,67,0.6,0.011111111,0.130612245,0.146341463,0
329,34,1,1,1,Finished,17,16,56,0.54,0.009615385,0.155893536,0.046357616,1
330,34,13,3,1,Finished,17,16,56,0.54,0.019685039,0.072243346,0.046357616,1
