year,name,driverRef,Medium,Soft,Super Soft,Ultra soft,Hard
2016,Mexican Grand Prix,sainz,2,3,8,0,0
2016,Mexican Grand Prix,ericsson,3,3,7,0,0
2016,Mexican Grand Prix,nasr,3,3,7,0,0
2016,Mexican Grand Prix,alonso,3,4,6,0,0
2016,Mexican Grand Prix,button,3,4,6,0,0
2016,Mexican Grand Prix,wehrlein,2,5,6,0,0
2016,Mexican Grand Prix,ocon,2,5,6,0,0
2016,Mexican Grand Prix,grosjean,2,4,7,0,0
2016,Mexican Grand Prix,gutierrez,1,5,7,0,0
2016,United States Grand Prix,hamilton,3,4,6,0,0
2016,United States Grand Prix,rosberg,2,5,6,0,0
2016,United States Grand Prix,vettel,1,5,7,0,0
2016,United States Grand Prix,raikkonen,1,5,7,0,0
2016,United States Grand Prix,massa,2,4,7,0,0
2016,United States Grand Prix,bottas,3,3,7,0,0
2016,United States Grand Prix,ricciardo,4,3,6,0,0
2016,United States Grand Prix,verstappen,4,3,6,0,0
2016,United States Grand Prix,hulkenberg,3,3,7,0,0
2016,United States Grand Prix,perez,3,2,8,0,0
2016,United States Grand Prix,magnussen,4,3,6,0,0
2016,United States Grand Prix,palmer,5,2,6,0,0
2016,United States Grand Prix,kvyat,3,3,7,0,0
2016,United States Grand Prix,sainz,3,3,7,0,0
2016,United States Grand Prix,ericsson,1,5,7,0,0
2016,United States Grand Prix,nasr,1,5,7,0,0
2016,United States Grand Prix,alonso,3,4,6,0,0
2016,United States Grand Prix,button,3,4,6,0,0
2016,United States Grand Prix,wehrlein,3,5,5,0,0
2016,United States Grand Prix,ocon,3,5,5,0,0
2016,United States Grand Prix,grosjean,1,5,7,0,0
2016,United States Grand Prix,gutierrez,2,4,7,0,0
2016,Japanese Grand Prix,hamilton,2,8,0,3,0
2016,Japanese Grand Prix,rosberg,3,8,0,2,0
2016,Japanese Grand Prix,vettel,1,9,0,3,0
2016,Japanese Grand Prix,raikkonen,2,9,0,2,0
2016,Japanese Grand Prix,massa,4,7,0,2,0
2016,Japanese Grand Prix,bottas,3,7,0,3,0
2016,Japanese Grand Prix,ricciardo,3,6,0,4,0
2016,Japanese Grand Prix,verstappen,3,6,0,4,0
2016,Japanese Grand Prix,hulkenberg,2,7,0,4,0
2016,Japanese Grand Prix,perez,2,7,0,4,0
2016,Japanese Grand Prix,magnussen,2,7,0,4,0
2016,Japanese Grand Prix,palmer,3,7,0,3,0
2016,Japanese Grand Prix,kvyat,2,7,0,4,0
2016,Japanese Grand Prix,sainz,3,7,0,3,0
2016,Japanese Grand Prix,ericsson,3,8,0,2,0
2016,Japanese Grand Prix,nasr,3,8,0,2,0
2016,Japanese Grand Prix,alonso,3,7,0,3,0
2016,Japanese Grand Prix,button,3,7,0,3,0
2016,Japanese Grand Prix,wehrlein,4,6,0,3,0
2016,Japanese Grand Prix,ocon,4,6,0,3,0
2016,Japanese Grand Prix,grosjean,3,7,0,3,0
2016,Japanese Grand Prix,gutierrez,4,7,0,2,0
2016,Malaysian Grand Prix,hamilton,3,7,0,0,3
2016,Malaysian Grand Prix,rosberg,4,7,0,0,2
2016,Malaysian Grand Prix,vettel,4,7,0,0,2
2016,Malaysian Grand Prix,raikkonen,3,7,0,0,3
2016,Malaysian Grand Prix,massa,3,7,0,0,3
2016,Malaysian Grand Prix,bottas,4,7,0,0,2
2016,Malaysian Grand Prix,ricciardo,4,6,0,0,3
2016,Malaysian Grand Prix,verstappen,4,6,0,0,3
2016,Malaysian Grand Prix,hulkenberg,3,7,0,0,3
2016,Malaysian Grand Prix,perez,3,7,0,0,3
