driverId,constructorId,circuitId,Did not finish,Podium,Pos 4 to 10,Accident / Collision,SC,Dry,Wet,pitStop timing (avg),pitStop timing prop(driver),grid,driver_error_rate,constructor_error_rate,circuit_error_rate,race_class
817,9,4,0,0.33,0.33,0,0,1,0,22190.33333,0.06242087,3,0.007751938,0.130612245,0.069536424,2
817,9,6,0.33,0.33,0.33,0.33,1,1,0,25351,0.06242087,1,0.007751938,0.130612245,0.160535117,1
817,9,7,0,0.33,0,0,0.33,1,0,22862,0.06242087,4,0.007751938,0.130612245,0.106382979,2
817,9,70,0,0,0.5,0,0.5,1,0,24554,0.06242087,5,0.007751938,0.130612245,0.023809524,2
817,9,9,0.33,0.33,0.33,0,1,0.67,0,27356,0.06242087,4,0.007751938,0.130612245,0.066225166,2
817,9,11,0,0.67,0,0,0.67,0.67,0,22134.5,0.06242087,3,0.007751938,0.130612245,0.043046358,1
817,9,13,0.33,0.33,0,0,0.33,1,0,22727.66667,0.06242087,5,0.007751938,0.130612245,0.103571429,1
817,9,14,0,0,1,0,0,1,0,24322,0.06242087,6,0.007751938,0.130612245,0.043046358,2
817,9,15,0.33,0.67,0,0.33,1,1,0,29113,0.06242087,2,0.007751938,0.130612245,0.114678899,1
817,9,2,0.33,0,0,0,0.33,0.67,0,23700.5,0.06242087,4,0.007751938,0.130612245,0.036184211,1
817,9,22,0,0,0,0,0.33,0.67,0.33,24336.66667,0.06242087,4,0.007751938,0.130612245,0.073359073,2
817,9,69,0,0.33,0,0,1,0.67,0,24359,0.06242087,3,0.007751938,0.130612245,0.047619048,1
817,9,32,0,0,1,0,1,1,0,22488,0.06242087,4,0.007751938,0.130612245,0.048387097,1
817,9,18,0.33,0,0,0,0,1,0,23662,0.06242087,6,0.007751938,0.130612245,0.097643098,2
817,9,24,0,0,0.33,0,0,1,0,22532,0.06242087,3,0.007751938,0.130612245,0.045918367,2
817,9,1,0.33,0,0.33,0,1,1,0,22314.33333,0.0624007,0,0.007751938,0.130612245,0.126245847,0
817,9,17,0,0,0.33,0,0.67,1,0,22607,0.0624007,5,0.007751938,0.130612245,0.046357616,2
